CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12348,75,4,1797.24,2,Budget Customers
12349,19,1,1757.55,2,Budget Customers
12350,310,1,334.4,1,Loyal Customers
12352,36,8,2506.04,3,Inactive Customers
12353,204,1,89.0,1,Loyal Customers
12354,232,1,1079.4,1,Loyal Customers
12355,214,1,459.4,1,Loyal Customers
12356,23,3,2811.43,2,Budget Customers
12358,2,2,1168.06,2,Budget Customers
12360,52,3,2662.06,2,Budget Customers
12361,287,1,189.9,1,Loyal Customers
12363,110,2,552.0,0,Premium Customers
12364,8,4,1313.1,2,Budget Customers
12365,291,2,641.38,1,Loyal Customers
12367,4,1,168.9,0,Premium Customers
12370,51,4,3545.69,3,Inactive Customers
12371,45,2,1887.96,2,Budget Customers
12372,72,3,1298.04,2,Budget Customers
12373,311,1,364.6,1,Loyal Customers
12374,25,1,742.9300000000001,0,Premium Customers
12375,11,2,457.5,0,Premium Customers
12377,315,2,1628.12,1,Loyal Customers
12379,82,2,852.24,0,Premium Customers
12380,22,4,2724.81,3,Inactive Customers
12381,5,5,1845.31,2,Budget Customers
12383,185,5,1850.56,2,Budget Customers
12384,29,2,585.27,0,Premium Customers
12388,16,6,2780.66,3,Inactive Customers
12390,80,1,549.84,0,Premium Customers
12391,22,1,460.89,0,Premium Customers
12393,72,4,1582.6000000000001,2,Budget Customers
12394,64,2,1272.48,2,Budget Customers
12397,36,2,2409.9,2,Budget Customers
12398,46,1,1635.6599999999999,2,Budget Customers
12399,119,4,1108.65,2,Budget Customers
12401,303,1,84.3,1,Loyal Customers
12402,323,1,225.6,1,Loyal Customers
12403,50,1,427.7,0,Premium Customers
12405,149,1,1710.39,2,Budget Customers
12406,22,2,3415.3,3,Inactive Customers
12407,50,5,1708.1200000000001,2,Budget Customers
12408,33,5,2888.55,3,Inactive Customers
12410,309,2,693.3299999999999,1,Loyal Customers
12412,75,3,1226.88,2,Budget Customers
12413,67,3,758.1,0,Premium Customers
12414,217,3,562.41,1,Loyal Customers
12417,3,9,3649.1,3,Inactive Customers
12418,113,1,668.58,0,Premium Customers
12420,64,1,600.39,0,Premium Customers
12421,16,4,807.04,2,Budget Customers
12422,96,3,803.5600000000001,0,Premium Customers
12423,1,8,1859.31,3,Inactive Customers
12424,163,2,1760.96,2,Budget Customers
12425,78,1,777.2,0,Premium Customers
12426,195,1,582.73,1,Loyal Customers
12427,22,3,825.8,2,Budget Customers
12430,43,1,256.4,0,Premium Customers
12434,85,2,806.14,0,Premium Customers
12436,100,1,509.01,0,Premium Customers
12438,14,2,2906.85,2,Budget Customers
12442,3,1,172.06,0,Premium Customers
12445,22,1,133.4,0,Premium Customers
12446,58,1,1002.3100000000001,0,Premium Customers
12447,243,1,476.49,1,Loyal Customers
12448,44,1,449.45,0,Premium Customers
12450,156,2,197.88,1,Loyal Customers
12452,17,2,430.57,0,Premium Customers
12453,134,1,707.09,0,Premium Customers
12454,56,1,3528.34,2,Budget Customers
12455,73,6,2466.86,3,Inactive Customers
12456,44,3,3181.04,3,Inactive Customers
12457,66,7,2363.23,3,Inactive Customers
12458,71,2,947.4,0,Premium Customers
12461,94,2,826.88,0,Premium Customers
12462,19,2,1189.59,2,Budget Customers
12463,53,4,1344.78,2,Budget Customers
12464,10,8,1212.05,3,Inactive Customers
12465,17,2,742.1899999999999,0,Premium Customers
12468,188,2,729.5400000000001,1,Loyal Customers
12475,54,1,723.38,0,Premium Customers
12478,4,1,680.99,0,Premium Customers
12479,11,1,527.2,0,Premium Customers
12480,28,4,3281.63,3,Inactive Customers
12483,17,8,2484.98,3,Inactive Customers
12488,10,3,1298.66,2,Budget Customers
12491,39,1,460.40000000000003,0,Premium Customers
12492,63,2,263.21000000000004,0,Premium Customers
12493,166,2,433.74,1,Loyal Customers
12494,16,7,1246.1000000000001,2,Budget Customers
12497,82,1,1043.1,0,Premium Customers
12498,21,3,403.70000000000005,0,Premium Customers
12504,18,2,482.04999999999995,0,Premium Customers
12506,233,1,73.5,1,Loyal Customers
12507,134,3,1304.81,2,Budget Customers
12508,26,2,398.27,0,Premium Customers
12509,284,1,176.5,1,Loyal Customers
12510,143,2,982.5699999999999,0,Premium Customers
12512,66,2,138.03,0,Premium Customers
12513,113,1,612.29,0,Premium Customers
12514,267,1,1017.68,1,Loyal Customers
12516,78,2,1312.06,2,Budget Customers
12517,28,5,2502.84,3,Inactive Customers
12518,1,5,2056.89,2,Budget Customers
12519,64,1,340.84,0,Premium Customers
12520,79,5,2634.26,3,Inactive Customers
12521,143,1,599.68,1,Loyal Customers
12522,39,2,192.72,0,Premium Customers
12523,19,11,1789.77,3,Inactive Customers
12526,1,3,1316.66,2,Budget Customers
12527,82,3,348.71000000000004,0,Premium Customers
12528,9,6,1933.48,3,Inactive Customers
12530,60,4,1662.28,2,Budget Customers
12531,15,1,125.22,0,Premium Customers
12532,30,1,349.83000000000004,0,Premium Customers
12534,131,1,1089.18,0,Premium Customers
12535,92,2,716.35,0,Premium Customers
12538,29,1,363.95,0,Premium Customers
12541,30,3,981.18,2,Budget Customers
12544,36,1,372.7,0,Premium Customers
12545,75,2,1000.39,0,Premium Customers
12546,47,2,1161.5,0,Premium Customers
12547,198,2,207.79999999999998,1,Loyal Customers
12548,166,1,95.19999999999999,1,Loyal Customers
12550,79,1,964.83,0,Premium Customers
12552,39,2,437.82,0,Premium Customers
12553,8,10,3692.28,3,Inactive Customers
12556,50,2,603.71,0,Premium Customers
12558,8,1,269.96,0,Premium Customers
12559,311,2,561.71,1,Loyal Customers
12560,5,3,2134.01,2,Budget Customers
12561,303,1,238.85,1,Loyal Customers
12564,261,1,456.9,1,Loyal Customers
12565,289,1,145.92,1,Loyal Customers
12566,86,1,351.65,0,Premium Customers
12571,40,2,519.61,0,Premium Customers
12572,9,2,1020.42,0,Premium Customers
12573,227,1,160.54000000000002,1,Loyal Customers
12574,316,1,218.45,1,Loyal Customers
12576,36,5,1315.83,2,Budget Customers
12577,35,3,657.8,0,Premium Customers
12578,21,2,2794.51,2,Budget Customers
12579,78,1,440.42,0,Premium Customers
12580,247,1,415.7,1,Loyal Customers
12581,40,1,197.71,0,Premium Customers
12582,239,2,511.36,1,Loyal Customers
12584,4,9,2338.15,3,Inactive Customers
12585,234,2,2040.1,1,Loyal Customers
12586,17,1,196.94000000000003,0,Premium Customers
12587,8,1,144.0,0,Premium Customers
12588,39,1,214.89999999999998,0,Premium Customers
12589,29,2,646.68,0,Premium Customers
